task,task_normalized,dwa_title,iwa_title,gwa_title,title,title_normalized,soc_code_2010,title_current,soc_code_2019,soc_code_2019_full,broad_occ,minor_occ_category,major_occ_category,physical,auto_aug_mean,pct_normalized,date,freq_mean,importance,relevance,task_prop,a_med_nat_2024,a_med_al_2024,a_med_ak_2024,a_med_az_2024,a_med_ar_2024,a_med_ca_2024,a_med_co_2024,a_med_ct_2024,a_med_de_2024,a_med_dc_2024,a_med_fl_2024,a_med_ga_2024,a_med_hi_2024,a_med_id_2024,a_med_il_2024,a_med_in_2024,a_med_ia_2024,a_med_ks_2024,a_med_ky_2024,a_med_la_2024,a_med_me_2024,a_med_md_2024,a_med_ma_2024,a_med_mi_2024,a_med_mn_2024,a_med_ms_2024,a_med_mo_2024,a_med_mt_2024,a_med_ne_2024,a_med_nv_2024,a_med_nh_2024,a_med_nj_2024,a_med_nm_2024,a_med_ny_2024,a_med_nc_2024,a_med_nd_2024,a_med_oh_2024,a_med_ok_2024,a_med_or_2024,a_med_pa_2024,a_med_ri_2024,a_med_sc_2024,a_med_sd_2024,a_med_tn_2024,a_med_tx_2024,a_med_ut_2024,a_med_vt_2024,a_med_va_2024,a_med_wa_2024,a_med_wv_2024,a_med_wi_2024,a_med_wy_2024,a_med_gu_2024,a_med_pr_2024,a_med_vi_2024,emp_tot_nat_2024,emp_tot_al_2024,emp_tot_ak_2024,emp_tot_az_2024,emp_tot_ar_2024,emp_tot_ca_2024,emp_tot_co_2024,emp_tot_ct_2024,emp_tot_de_2024,emp_tot_dc_2024,emp_tot_fl_2024,emp_tot_ga_2024,emp_tot_hi_2024,emp_tot_id_2024,emp_tot_il_2024,emp_tot_in_2024,emp_tot_ia_2024,emp_tot_ks_2024,emp_tot_ky_2024,emp_tot_la_2024,emp_tot_me_2024,emp_tot_md_2024,emp_tot_ma_2024,emp_tot_mi_2024,emp_tot_mn_2024,emp_tot_ms_2024,emp_tot_mo_2024,emp_tot_mt_2024,emp_tot_ne_2024,emp_tot_nv_2024,emp_tot_nh_2024,emp_tot_nj_2024,emp_tot_nm_2024,emp_tot_ny_2024,emp_tot_nc_2024,emp_tot_nd_2024,emp_tot_oh_2024,emp_tot_ok_2024,emp_tot_or_2024,emp_tot_pa_2024,emp_tot_ri_2024,emp_tot_sc_2024,emp_tot_sd_2024,emp_tot_tn_2024,emp_tot_tx_2024,emp_tot_ut_2024,emp_tot_vt_2024,emp_tot_va_2024,emp_tot_wa_2024,emp_tot_wv_2024,emp_tot_wi_2024,emp_tot_wy_2024,emp_tot_gu_2024,emp_tot_pr_2024,emp_tot_vi_2024
Compile and evaluate statistical data to determine and maintain quality and reliability of products.,compile and evaluate statistical data to determine and maintain quality and reliability of products,Assess product or process usefulness.,"Evaluate the characteristics, usefulness, or performance of products or technologies.","Judging the Qualities of Objects, Services, or People",Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,False,2.746,0.0053381407082358,2025-03-06,0.9374,3.66,80.24,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Study time, motion, methods, or speed involved in maintenance, production, or other operations to establish standard production rate or improve efficiency.",study time motion methods or speed involved in maintenance production or other operations to establish standard production rate or improve efficiency,Research human performance or health factors related to engineering or design activities.,Research technology designs or applications.,Getting Information,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,False,2.842,0.0021940715749314,2025-03-06,0.8773342307692307,3.52,78.43,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Aid in planning work assignments in accordance with worker performance, machine capacity, production schedules, or anticipated delays.",aid in planning work assignments in accordance with worker performance machine capacity production schedules or anticipated delays,Prepare detailed work plans.,Plan work activities.,"Organizing, Planning, and Prioritizing Work",Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,False,2.565,0.0009701126549731,2025-03-06,0.7855826923076923,3.18,77.15,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Analyze, estimate, or report production costs.",analyze estimate or report production costs,Estimate operational costs.,Estimate project development or operational costs.,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,False,2.669,0.0005057242294216,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Analyze, estimate, or report production costs.",analyze estimate or report production costs,Analyze costs and benefits of proposed designs or projects.,"Evaluate designs, specifications, or other technical data.",Analyzing Data or Information,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,False,2.669,0.0005057242294216,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Assist engineers in developing, building, or testing prototypes or new products, processes, or procedures.",assist engineers in developing building or testing prototypes or new products processes or procedures,Create physical models or prototypes.,"Develop models of systems, processes, or products.",Thinking Creatively,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,True,2.565,0.000773843174383,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Assist engineers in developing, building, or testing prototypes or new products, processes, or procedures.",assist engineers in developing building or testing prototypes or new products processes or procedures,Develop technical methods or processes.,Develop operational or technical procedures or standards.,Developing Objectives and Strategies,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,True,2.565,0.000773843174383,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Calibrate or adjust equipment to ensure quality production, using tools such as calipers, micrometers, height gauges, protractors, or ring gauges.",calibrate or adjust equipment to ensure quality production using tools such as calipers micrometers height gauges protractors or ring gauges,Calibrate scientific or technical equipment.,Adjust equipment to ensure adequate performance.,Handling and Moving Objects,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,True,2.746,0.0002319373150802,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Coordinate equipment purchases, installations, or transfers.",coordinate equipment purchases installations or transfers,"Purchase materials, equipment, or other resources.",Purchase goods or services.,Monitoring and Controlling Resources,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,False,2.669,0.0005441238819702,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Create or interpret engineering drawings, schematic diagrams, formulas, or blueprints for management or engineering staff.",create or interpret engineering drawings schematic diagrams formulas or blueprints for management or engineering staff,Prepare drawings or diagrams of products or services.,Create visual designs or displays.,Thinking Creatively,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,False,2.358,0.0105613652141744,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Create or interpret engineering drawings, schematic diagrams, formulas, or blueprints for management or engineering staff.",create or interpret engineering drawings schematic diagrams formulas or blueprints for management or engineering staff,"Explain engineering drawings, specifications, or other technical information.",Explain technical details of products or services.,Interpreting the Meaning of Information for Others,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,False,2.358,0.0105613652141744,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Develop or implement programs to address problems related to production, materials, safety, or quality.",develop or implement programs to address problems related to production materials safety or quality,Implement design or process improvements.,Implement procedures or processes.,Making Decisions and Solving Problems,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,False,3.056,0.0019726601945418,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Develop or implement programs to address problems related to production, materials, safety, or quality.",develop or implement programs to address problems related to production materials safety or quality,Develop technical methods or processes.,Develop operational or technical procedures or standards.,Developing Objectives and Strategies,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,False,3.056,0.0019726601945418,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
"Develop production, inventory, or quality assurance programs.",develop production inventory or quality assurance programs,Develop technical methods or processes.,Develop operational or technical procedures or standards.,Developing Objectives and Strategies,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,False,2.669,0.0003171653121888,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
Monitor and adjust production processes or equipment for quality and productivity.,monitor and adjust production processes or equipment for quality and productivity,Monitor the productivity or efficiency of industrial operations.,Monitor operations to ensure adequate performance.,"Monitoring Processes, Materials, or Surroundings",Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,True,2.746,0.0002319373150802,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
Monitor and adjust production processes or equipment for quality and productivity.,monitor and adjust production processes or equipment for quality and productivity,Calibrate scientific or technical equipment.,Adjust equipment to ensure adequate performance.,Handling and Moving Objects,Industrial Engineering Technicians,industrial engineering technicians,17-3026.00,Industrial Engineering Technologists and Technicians,17-3026,17-3026.00,"Engineering Technologists and Technicians, Except Drafters","Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,True,2.746,0.0002319373150802,2025-03-06,0.6634380769230769,3.407777777777778,69.135,3.3,64790.0,59860.0,94110.0,69900.0,59720.0,77350.0,64890.0,64820.0,64790.0,64790.0,52620.0,60790.0,64790.0,61710.0,69430.0,61480.0,60330.0,52700.0,63430.0,64790.0,64790.0,78800.0,71370.0,62040.0,66260.0,57370.0,75000.0,58640.0,61690.0,59740.0,66080.0,62780.0,59290.0,66830.0,65960.0,72560.0,63690.0,74960.0,76370.0,59590.0,64750.0,69250.0,50390.0,59700.0,60900.0,65330.0,63700.0,64170.0,81530.0,62820.0,64680.0,64790.0,64790.0,45760.0,64790.0,32570.0,830.0,35.0,1810.0,293.0,3540.0,719.0,820.0,113.0,149.0,2201.0,2020.0,130.0,284.0,2440.0,2502.0,612.0,382.0,1056.0,920.0,230.0,595.0,1970.0,5147.0,4818.0,302.0,754.0,80.0,213.0,1020.0,479.0,799.0,337.0,3910.000000000001,1872.0,62.0,5501.0,710.0,920.0,1766.0,115.0,1934.0,311.0,2032.0,4579.0,1171.0,80.0,1047.0,1029.0,89.0,2272.0,59.0,13.0,914.0,7.0
